name,date,open,high,low,close,volumn
1DIV,16-Oct-14,12.51,12.54,12.41,12.43,21200
BCHAY,16-Oct-14,18.4,18.58,18.3,18.55,3400
CHINA,16-Oct-14,5.28,5.32,5.25,5.25,102200
EBANK,16-Oct-14,5.99,5.99,5.91,5.91,37800
ECOMM,16-Oct-14,5.95,5.95,5.95,5.95,12500
EFOOD,16-Oct-14,5.64,5.64,5.64,5.64,5000
EICT,16-Oct-14,6.56,6.56,6.54,6.54,12000
ENGY,16-Oct-14,5.2,5.23,5.17,5.19,139900
ENY,16-Oct-14,5.44,5.44,5.44,5.44,100
GLD,16-Oct-14,1.78,1.78,1.77,1.78,597000
GOLD99,16-Oct-14,19.24,19.24,19.2,19.2,500
HK,16-Oct-14,5.08,5.09,5.08,5.09,60000
KG965,16-Oct-14,18.49,18.62,18.35,18.6,16100
TDEX,16-Oct-14,10.43,10.43,10.3,10.32,434500
TGOLDETF,16-Oct-14,3.92,3.92,3.91,3.91,163700
TH100,16-Oct-14,4.65,4.65,4.64,4.64,11400
2S,16-Oct-14,4.9,4.92,4.8,4.8,648900
A,16-Oct-14,5.5,5.5,5.45,5.5,39100
AAV,16-Oct-14,4.46,4.48,4.42,4.42,9131900
ABC,16-Oct-14,3.94,3.98,3.88,3.88,2461700
ABPIF,16-Oct-14,9.1,9.15,9.1,9.1,104700
ACAP,16-Oct-14,16.4,16.4,16.2,16.3,629100
ACD,16-Oct-14,3.64,3.78,3.36,3.36,29274500
ADVANC,16-Oct-14,225,226,224,224,3914400
AEC,16-Oct-14,1.53,1.53,1.45,1.48,9722400
AEONTS,16-Oct-14,110.5,110.5,110,110,13200
AF,16-Oct-14,15.1,15.1,15,15,6000
AFC,16-Oct-14,13.2,13.2,13.2,13.2,500
AGE,16-Oct-14,2.3,2.32,2.28,2.28,1078300
AH,16-Oct-14,15.3,15.4,15.1,15.2,180700
AHC,16-Oct-14,32.25,32.25,31.75,32,96900
AI,16-Oct-14,10.3,10.4,10.1,10.1,1010600
AIE,16-Oct-14,3.92,3.96,3.9,3.9,1419000
AIRA,16-Oct-14,3.3,3.3,3.2,3.24,14109500
AIT,16-Oct-14,37.25,37.75,37,37.25,886300
AJ,16-Oct-14,10.5,10.5,10.3,10.3,481200
AJD,16-Oct-14,14.9,15,10.5,11.1,66342000
AJP,16-Oct-14,15,15.5,14.1,14.1,11571700
AKP,16-Oct-14,3.36,3.36,3.24,3.3,1225300
AKR,16-Oct-14,2.26,2.28,2.16,2.16,43073200
ALUCON,16-Oct-14,188.5,188.5,188,188.5,1400
AMANAH,16-Oct-14,1.11,1.15,1.1,1.1,13475600
AMARIN,16-Oct-14,11.9,11.9,11.4,11.6,44500
AMATA,16-Oct-14,15.5,15.6,15.2,15.2,3775400
AMC,16-Oct-14,2.84,2.92,2.8,2.86,1265600
ANAN,16-Oct-14,3.82,3.9,3.82,3.82,12966300
AOT,16-Oct-14,225,227,219,220,2438000
AP,16-Oct-14,6.85,6.95,6.8,6.8,9110500
APCO,16-Oct-14,28.5,28.75,28,28.25,405100
APCS,16-Oct-14,2.76,2.94,2.72,2.78,7360000
APURE,16-Oct-14,1.83,2.26,1.8,2.08,508166800
AQ,16-Oct-14,0.45,0.46,0.44,0.46,104598600
AQUA,16-Oct-14,1.53,1.59,1.47,1.49,129192900
ARIP,16-Oct-14,1.44,1.47,1.38,1.38,7766800
ARROW,16-Oct-14,8.15,8.15,7.95,7.95,70600
AS,16-Oct-14,5.05,5.1,5,5.05,97100
ASIA,16-Oct-14,93.5,93.75,93.5,93.5,4900
ASIAN,16-Oct-14,2.98,3.02,2.98,3.02,4400
ASIMAR,16-Oct-14,1.99,2.28,1.99,2.02,73318100
ASK,16-Oct-14,19.9,20,19.8,20,568800
ASP,16-Oct-14,3.92,3.92,3.88,3.88,5724300
AUCT,16-Oct-14,15.4,15.5,14.1,14.8,2799200
AYUD,16-Oct-14,43.5,43.75,43.25,43.25,80500
BAFS,16-Oct-14,36.5,36.5,35.75,36,52400
BANPU,16-Oct-14,28.25,28.5,28,28,13033400
BAT-3K,16-Oct-14,76,76,75.5,75.5,800
BAY,16-Oct-14,46.5,47,45.5,45.5,390200
BBL,16-Oct-14,194.5,194.5,192,192,7478700
BCH,16-Oct-14,9.7,10.1,9.7,9.8,2099700
BCP,16-Oct-14,32,32.25,31.75,31.75,2544600
BEAUTY,16-Oct-14,28.75,29,28.25,28.25,1245600
BEC,16-Oct-14,45.25,46,45,45.25,2096400
BECL,16-Oct-14,37.25,37.5,37,37.5,1460700
BFIT,16-Oct-14,7,7,6.9,6.95,39900
BGH,16-Oct-14,18.2,18.3,18,18.1,14327900
BGT,16-Oct-14,1.34,1.34,1.25,1.25,3039800
BH,16-Oct-14,128,128.5,125,125,576300
BIGC,16-Oct-14,222,223,221,221,78000
BJC,16-Oct-14,44.75,45,44.5,44.5,687900
BJCHI,16-Oct-14,38.5,38.5,37.25,37.25,1787500
BKD,16-Oct-14,5.1,5.2,4.76,4.88,14346500
BKI,16-Oct-14,367,372,367,372,1500
BKKCP,16-Oct-14,9.9,9.9,9.9,9.9,200
BLA,16-Oct-14,60.5,60.5,59.25,59.25,1129300
BLAND,16-Oct-14,1.96,1.97,1.93,1.94,192186800
BMCL,16-Oct-14,1.75,1.75,1.7,1.7,195153900
BOL,16-Oct-14,2.42,2.48,2.42,2.46,3943900
BROCK,16-Oct-14,2.14,2.14,2.06,2.08,1467000
BROOK,16-Oct-14,3.42,3.42,3.22,3.22,5056000
BSBM,16-Oct-14,1.47,1.53,1.45,1.46,27256000
BSM,16-Oct-14,1.25,1.36,1.2,1.27,115662300
BTC,16-Oct-14,1.14,1.2,1.03,1.04,411176600
BTNC,16-Oct-14,22.3,22.3,22.3,22.3,300
BTS,16-Oct-14,10,10.3,10,10.1,71796200
BTSGIF,16-Oct-14,10,10.1,9.95,10,1888900
BUI,16-Oct-14,20.4,20.4,19.8,20.1,12000
BWG,16-Oct-14,4.58,4.64,4.38,4.44,18460400
CCET,16-Oct-14,2.98,3.06,2.98,2.98,4049400
CCN,16-Oct-14,3.2,3.26,2.96,3,9003800
CCP,16-Oct-14,6.3,6.35,6.15,6.15,2380300
CEI,16-Oct-14,6.95,6.95,6.65,6.7,280300
CEN,16-Oct-14,3.74,3.84,3.66,3.68,7467500
CENTEL,16-Oct-14,38.5,38.75,37.75,38.25,1149500
CFRESH,16-Oct-14,9.1,9.1,9,9,86500
CGD,16-Oct-14,1.67,1.7,1.55,1.57,132644100
CGS,16-Oct-14,1.61,1.67,1.61,1.62,29519400
CHARAN,16-Oct-14,55,55,55,55,1000
CHG,16-Oct-14,17.6,17.6,17.4,17.4,1689200
CHO,16-Oct-14,4.84,4.88,4.6,4.7,6219800
CHOTI,16-Oct-14,195,195,193,193,500
CHOW,16-Oct-14,7.6,7.65,7.35,7.4,7890900
CHUO,16-Oct-14,13.1,13.1,12.6,13,60600
CI,16-Oct-14,2.7,2.9,2.4,2.48,208037200
CIG,16-Oct-14,1.45,1.46,1.32,1.35,59337000
CIMBT,16-Oct-14,2.16,2.16,2.1,2.12,1093500
CITY,16-Oct-14,4.52,4.58,4.48,4.48,872000
CK,16-Oct-14,26.5,26.5,25.75,26,8120600
CKP,16-Oct-14,17.6,17.7,17.3,17.3,1409200
CM,16-Oct-14,4.08,4.12,4.08,4.1,90500
CMO,16-Oct-14,2.66,2.94,2.6,2.66,21339500
CMR,16-Oct-14,202,202,201,202,500
CNS,16-Oct-14,2.42,2.42,2.42,2.42,30100
CNT,16-Oct-14,5.5,5.55,5.45,5.45,415700
COLOR,16-Oct-14,1.41,1.42,1.34,1.35,3704900
CPALL,16-Oct-14,43.75,44.5,43.75,43.75,14548700
CPF,16-Oct-14,33,33.25,32.25,32.75,31523400
CPI,16-Oct-14,2.64,2.72,2.62,2.62,1490800
CPN,16-Oct-14,45,45.25,44.5,44.5,2336700
CPNCG,16-Oct-14,10.5,10.5,10.4,10.4,322000
CPNRF,16-Oct-14,16.4,16.4,16.2,16.3,933800
CPR,16-Oct-14,3.02,3.04,3,3,183900
CPTGF,16-Oct-14,9.45,9.5,9.4,9.5,24000
CRANE,16-Oct-14,4.94,4.94,4.9,4.92,299400
CSC,16-Oct-14,52.25,52.75,52.25,52.75,1000
CSL,16-Oct-14,9.95,10,9.95,10,150600
CSP,16-Oct-14,4.2,4.24,4.18,4.18,372700
CSS,16-Oct-14,6.65,6.65,6.2,6.3,12343900
CTARAF,16-Oct-14,4.82,4.86,4.82,4.82,4200
CTW,16-Oct-14,11.5,11.5,11.1,11.2,46200
CWT,16-Oct-14,2.24,2.34,2.22,2.26,1795300
DCC,16-Oct-14,57.75,57.75,57.25,57.25,339000
DCON,16-Oct-14,16.6,16.7,16.6,16.7,174400
DELTA,16-Oct-14,59,60.25,58.25,58.75,1034000
DEMCO,16-Oct-14,15.9,15.9,14.7,15,20782400
DIMET,16-Oct-14,17.2,17.6,15,16.9,4537700
DNA,16-Oct-14,3.52,3.52,3.28,3.3,4074600
DRACO,16-Oct-14,3.94,4.1,3.9,4.1,46700
DRT,16-Oct-14,5.9,5.95,5.9,5.9,569100
DSGT,16-Oct-14,8.1,8.1,8,8.05,258300
DTAC,16-Oct-14,103.5,103.5,102,102,1829200
DTC,16-Oct-14,63.5,63.5,63.5,63.5,100
DTCI,16-Oct-14,39.75,40,39.75,39.75,15600
DTCPF,16-Oct-14,8.75,8.75,8.7,8.7,10100
E,16-Oct-14,1.29,1.3,1.26,1.26,10762400
EA,16-Oct-14,23.2,23.2,22.8,22.8,2171000
EARTH,16-Oct-14,5.35,5.35,5.2,5.35,12204600
EASON,16-Oct-14,3.22,3.24,3.22,3.24,32700
EASTW,16-Oct-14,10.9,11,10.9,10.9,148800
ECF,16-Oct-14,4.6,4.64,4.5,4.54,10974900
ECL,16-Oct-14,2.1,2.2,2.04,2.08,42242800
EE,16-Oct-14,1.35,1.36,1.31,1.32,50526500
EFORL,16-Oct-14,1.71,1.74,1.65,1.67,214218800
EGCO,16-Oct-14,170,171,169.5,170.5,784600
EIC,16-Oct-14,2.38,2.38,2.3,2.3,2601700
EMC,16-Oct-14,1.25,1.25,1.18,1.21,234128900
EPCO,16-Oct-14,6.15,6.25,6,6.05,3527700
ERW,16-Oct-14,4.84,4.84,4.74,4.74,7680500
ERWPF,16-Oct-14,9.7,9.7,9.7,9.7,8000
ESSO,16-Oct-14,5.5,5.5,5.35,5.35,2223900
ESTAR,16-Oct-14,1.04,1.04,1.01,1.01,35903400
EUREKA,16-Oct-14,3.2,3.2,3.16,3.18,280400
EVER,16-Oct-14,3.1,3.22,3.02,3.06,51642500
F&D,16-Oct-14,28.75,29.5,28.75,29,4500
FANCY,16-Oct-14,2.52,2.58,2.44,2.48,6890500
FMT,16-Oct-14,22.4,22.4,22.4,22.4,100
FNS,16-Oct-14,4.4,4.4,4.32,4.38,269100
FOCUS,16-Oct-14,3.48,3.6,3.42,3.42,1471300
FORTH,16-Oct-14,6.25,6.25,6,6.15,1669700
FPI,16-Oct-14,14.9,15.2,14.5,14.5,7972500
FSMART,16-Oct-14,4.98,5,4.38,4.46,51581600
FSS,16-Oct-14,3.46,3.48,3.42,3.42,134500
FUTUREPF,16-Oct-14,17,17,16.8,16.9,418400
FVC,16-Oct-14,2.46,2.5,2.28,2.32,1775800
GBX,16-Oct-14,0.97,0.98,0.95,0.95,9473700
GC,16-Oct-14,4.24,4.26,4.22,4.22,31300
GCAP,16-Oct-14,4.7,4.7,4.5,4.5,2196800
GEL,16-Oct-14,0.83,0.84,0.79,0.8,182642400
GENCO,16-Oct-14,1.9,1.99,1.76,1.99,524030900
GFPT,16-Oct-14,21.1,21.1,20.5,20.9,1927800
GJS,16-Oct-14,0.09,0.1,0.08,0.09,620140000
GL,16-Oct-14,5.75,5.8,5.6,5.6,229300
GLAND,16-Oct-14,3.64,3.66,3.48,3.48,13555500
GLOBAL,16-Oct-14,12.8,13,12.7,12.7,2655000
GLOW,16-Oct-14,93,95.5,92.5,92.75,646700
GOLD,16-Oct-14,9.1,9.3,8.8,8.8,11393900
GOLDPF,16-Oct-14,5.3,5.3,5.25,5.3,132000
GRAMMY,16-Oct-14,13.9,14,13.6,13.6,123800
GRAND,16-Oct-14,2.44,2.64,2.44,2.48,467717700
GSTEL,16-Oct-14,0.21,0.22,0.19,0.19,769481800
GUNKUL,16-Oct-14,22.4,22.6,21.8,22.2,1273100
GYT,16-Oct-14,400,400,393,393,2100
HANA,16-Oct-14,40.75,41.5,40.5,41.5,1511000
HEMRAJ,16-Oct-14,4.56,4.6,4.5,4.52,25277200
HFT,16-Oct-14,3.82,3.84,3.74,3.74,1023900
HMPRO,16-Oct-14,10.1,10.2,10,10.1,22399700
HOTPOT,16-Oct-14,3.34,3.38,3.34,3.34,72100
HPF,16-Oct-14,9.75,9.75,9.75,9.75,1000
HTC,16-Oct-14,13,13,12.9,12.9,112000
HTECH,16-Oct-14,2.98,3,2.94,2.96,281000
HYDRO,16-Oct-14,3.44,3.5,3.34,3.4,2457500
ICC,16-Oct-14,39.75,40,39.75,40,8100
ICHI,16-Oct-14,22.8,22.8,22.5,22.5,3003600
IEC,16-Oct-14,0.04,0.05,0.04,0.04,3285174600
IFEC,16-Oct-14,7.45,7.55,7.25,7.25,20727000
IFS,16-Oct-14,3.08,3.08,2.98,2.98,1180700
IHL,16-Oct-14,6.7,6.7,6.65,6.7,76900
ILINK,16-Oct-14,18,18,17.7,18,149900
IMPACT,16-Oct-14,10.3,10.4,10.3,10.3,1854300
INET,16-Oct-14,3.7,3.72,3.52,3.58,997500
INOX,16-Oct-14,1.5,1.51,1.5,1.51,58000
INTUCH,16-Oct-14,70.75,71.25,70.5,70.5,5655900
IRC,16-Oct-14,17,17,16.4,16.7,700
IRCP,16-Oct-14,5.95,6.05,5.85,5.85,1581900
IRPC,16-Oct-14,3.38,3.46,3.38,3.38,29598800
IT,16-Oct-14,3.12,3.12,3.06,3.06,204700
ITD,16-Oct-14,5.3,5.35,5.2,5.2,44970900
IVL,16-Oct-14,24,24,22.9,23,14410600
JAS,16-Oct-14,6.4,6.45,6.35,6.45,30716200
JCT,16-Oct-14,119,120,117.5,119.5,1400
JMART,16-Oct-14,13.5,13.6,13.3,13.3,171700
JMT,16-Oct-14,18,18,17.8,17.8,61100
JTS,16-Oct-14,1.57,1.57,1.54,1.54,542200
JUBILE,16-Oct-14,41.75,41.75,40,40,88700
JUTHA,16-Oct-14,3.96,4.2,3.9,3.94,4799700
KAMART,16-Oct-14,6.2,6.35,6,6.05,2226000
KASET,16-Oct-14,3.34,3.56,3.32,3.32,2894200
KBANK,16-Oct-14,222,225,222,222,2542200
KBS,16-Oct-14,10.5,10.6,10.5,10.5,175200
KC,16-Oct-14,1.47,1.48,1.44,1.44,3089400
KCAR,16-Oct-14,11.4,11.4,11.3,11.4,62300
KCE,16-Oct-14,41.5,41.5,40.5,40.75,2645000
KDH,16-Oct-14,86.5,86.5,86,86,2000
KGI,16-Oct-14,3.26,3.28,3.26,3.26,2620800
KIAT,16-Oct-14,7.75,7.75,7.5,7.5,36400
KKC,16-Oct-14,3.02,3.02,2.9,2.92,1026600
KKP,16-Oct-14,40,40.25,39.75,40,1351500
KPNPF,16-Oct-14,9.85,9.85,9.85,9.85,2000
KSL,16-Oct-14,13.4,13.5,13.2,13.4,253000
KTB,16-Oct-14,23.5,23.7,23.1,23.1,44512100
KTC,16-Oct-14,66.5,67.25,63.75,64,452800
KTIS,16-Oct-14,11.4,11.4,11.1,11.2,4835600
KTP,16-Oct-14,2.34,2.34,2.24,2.26,710700
KWC,16-Oct-14,165,165,161,161,900
KYE,16-Oct-14,256,260,254,254,6300
L&E,16-Oct-14,6.85,6.85,6.8,6.85,70700
LALIN,16-Oct-14,4.46,4.46,4.42,4.44,310400
LANNA,16-Oct-14,13.1,13.1,13,13.1,84500
LDC,16-Oct-14,4.7,4.84,4.62,4.62,9925000
LEE,16-Oct-14,2.94,2.96,2.94,2.94,115700
LH,16-Oct-14,9.8,9.85,9.75,9.8,9935400
LHBANK,16-Oct-14,1.78,1.78,1.74,1.76,29003900
LHK,16-Oct-14,3.52,3.54,3.48,3.48,167700
LHPF,16-Oct-14,8.7,8.75,8.7,8.75,95200
LIT,16-Oct-14,4.36,4.38,4.2,4.2,7418400
LIVE,16-Oct-14,0.28,0.29,0.27,0.28,31517600
LOXLEY,16-Oct-14,4.34,4.34,4.24,4.24,23428100
LPN,16-Oct-14,21.8,22.1,21.7,22.1,4505500
LRH,16-Oct-14,34,34,32.5,32.75,31300
LST,16-Oct-14,4.12,4.26,4.1,4.16,1023300
LUXF,16-Oct-14,5.2,5.2,5.15,5.15,51400
M,16-Oct-14,59,59.25,58,58.25,1073700
M-AAA,16-Oct-14,11.8,11.8,11.8,11.8,5000
M-CHAI,16-Oct-14,197,197,194,197,2100
M-II,16-Oct-14,10,10,10,10,500
M-STOR,16-Oct-14,11,11,11,11,1000
MACO,16-Oct-14,1.79,1.86,1.75,1.76,79198200
MAJOR,16-Oct-14,24,24,23.6,23.7,563100
MAKRO,16-Oct-14,38,38,37.5,38,432800
MALEE,16-Oct-14,36,36.25,35.5,36,132300
MATCH,16-Oct-14,2.84,2.88,2.8,2.82,436000
MATI,16-Oct-14,6.9,6.95,6.9,6.95,10000
MAX,16-Oct-14,1.11,1.12,1.05,1.07,245875000
MBAX,16-Oct-14,4.3,4.32,4.22,4.22,1093400
MBK,16-Oct-14,16.4,16.5,16.2,16.4,477200
MBKET,16-Oct-14,22.7,22.8,22.7,22.7,90500
MC,16-Oct-14,18.7,18.7,18.1,18.3,3087500
MCOT,16-Oct-14,20.4,20.4,20.2,20.2,227300
MCS,16-Oct-14,5.35,5.4,5.2,5.2,1142000
MDX,16-Oct-14,11.7,11.7,11.4,11.5,1150600
MEGA,16-Oct-14,19.2,19.4,19.1,19.3,1204200
METCO,16-Oct-14,215,215,215,215,2000
MFC,16-Oct-14,35.75,36,35.75,36,8200
MFEC,16-Oct-14,7.85,7.95,7.85,7.85,1362000
MIDA,16-Oct-14,1.24,1.33,1.12,1.14,707546500
MILL,16-Oct-14,2.36,2.36,2.22,2.22,4574500
MINT,16-Oct-14,35,35.25,34,34,14336900
MJD,16-Oct-14,3.28,3.28,3.18,3.26,1022400
MJLF,16-Oct-14,12.3,12.3,12.2,12.2,17000
MK,16-Oct-14,4.26,4.28,4.22,4.24,1675300
ML,16-Oct-14,2.46,2.58,2.34,2.38,21195700
MLINK,16-Oct-14,4.1,4.28,3.9,4.04,44045300
MNIT,16-Oct-14,3.34,3.34,3.24,3.24,40600
MNIT2,16-Oct-14,9,9,9,9,36400
MNRF,16-Oct-14,9.05,9.05,9,9.05,105200
MODERN,16-Oct-14,10.6,10.7,10.4,10.4,932100
MONO,16-Oct-14,3.9,3.9,3.68,3.78,14060200
MOONG,16-Oct-14,5.75,5.9,5.6,5.9,135900
MPG,16-Oct-14,2.12,2.2,2.1,2.12,12124500
MPIC,16-Oct-14,1.88,2.06,1.88,1.93,2598300
MSC,16-Oct-14,4.54,4.54,4.5,4.5,40900
MTI,16-Oct-14,151.5,151.5,151.5,151.5,10100
NBC,16-Oct-14,3.42,3.42,3.34,3.34,150500
NC,16-Oct-14,20.9,20.9,20.9,20.9,100
NCH,16-Oct-14,1.74,1.79,1.7,1.7,42221500
NEP,16-Oct-14,1.05,1.06,1.03,1.03,7577100
NEW,16-Oct-14,56,56,54,55,1200
NINE,16-Oct-14,3.72,3.78,3.66,3.66,63900
NIPPON,16-Oct-14,2.64,2.78,2.58,2.7,62841500
NMG,16-Oct-14,1.51,1.52,1.48,1.48,26153000
NNCL,16-Oct-14,2,2.02,1.98,2,664900
NOBLE,16-Oct-14,10.2,10.4,10.2,10.3,1507400
NOK,16-Oct-14,14.7,14.8,14.4,14.5,2235300
NPARK,16-Oct-14,0.06,0.07,0.05,0.06,6614431500
NPK,16-Oct-14,19.3,21.3,19.3,21,300
NSI,16-Oct-14,99,99,98,98,3100
NTV,16-Oct-14,33,33,32.5,32.5,19000
NUSA,16-Oct-14,1.36,1.37,1.3,1.3,30194600
NWR,16-Oct-14,1.99,2,1.97,1.97,3873700
NYT,16-Oct-14,15.5,16.2,15.4,16,2492000
OCC,16-Oct-14,17.2,17.2,17.2,17.2,500
OCEAN,16-Oct-14,1.54,1.54,1.48,1.48,15996400
OFM,16-Oct-14,49.25,49.75,48.75,49,116800
OGC,16-Oct-14,31,31.5,31,31,2600
OISHI,16-Oct-14,86,86.25,85.75,85.75,3000
OTO,16-Oct-14,7,7.1,6.75,6.8,1286800
PACE,16-Oct-14,3.6,3.68,3.58,3.58,4174400
PAE,16-Oct-14,0.95,0.95,0.92,0.92,35926500
PAF,16-Oct-14,1.37,1.45,1.35,1.35,19523200
PAP,16-Oct-14,5.5,5.6,5.5,5.55,530900
PATO,16-Oct-14,12.6,12.7,12.6,12.7,8100
PB,16-Oct-14,45.25,45.25,44.5,44.5,24800
PCA,16-Oct-14,7.1,7.25,6.7,6.8,7134500
PCSGH,16-Oct-14,9.6,9.85,9.6,9.8,429400
PDG,16-Oct-14,5.2,5.2,5.05,5.05,847600
PDI,16-Oct-14,16.1,16.1,15.8,15.8,508600
PE,16-Oct-14,1.26,1.28,1.23,1.24,2033400
PERM,16-Oct-14,2.88,3.12,2.78,2.86,173393900
PF,16-Oct-14,1.3,1.34,1.28,1.29,43132900
PHOL,16-Oct-14,4,4.04,3.98,3.98,99200
PICO,16-Oct-14,2.42,2.58,2.36,2.36,5983700
PJW,16-Oct-14,3.8,3.8,3.74,3.8,499000
PL,16-Oct-14,4.18,4.2,4.16,4.16,134000
PM,16-Oct-14,9.8,9.85,9.8,9.8,110300
POPF,16-Oct-14,11.5,11.7,11.5,11.6,402800
PPF,16-Oct-14,10.1,10.3,10.1,10.3,30000
PPM,16-Oct-14,7.8,8.15,7.8,7.85,188200
PPP,16-Oct-14,6.45,6.5,6.25,6.35,2305800
PPS,16-Oct-14,1.58,1.79,1.58,1.63,106925800
PR,16-Oct-14,46.5,46.75,46.5,46.75,6200
PRAKIT,16-Oct-14,13.5,13.5,13.4,13.4,3500
PRANDA,16-Oct-14,6.5,6.5,6.4,6.4,172200
PREB,16-Oct-14,9.75,9.9,9.65,9.75,776100
PRECHA,16-Oct-14,2.88,2.96,2.82,2.82,2393000
PRIN,16-Oct-14,1.83,1.86,1.77,1.8,10090300
PRINC,16-Oct-14,3.66,3.74,3.64,3.7,1908700
PS,16-Oct-14,32.5,33,32.5,33,1635100
PSL,16-Oct-14,22.5,22.6,21.9,21.9,1064500
PT,16-Oct-14,7.75,7.85,7.65,7.8,124300
PTG,16-Oct-14,4.78,4.9,4.78,4.86,3447400
PTL,16-Oct-14,11.8,11.9,11.4,11.5,419600
PTT,16-Oct-14,349,353,343,345,6689100
PTTEP,16-Oct-14,145.5,147.5,145,145,9016500
PTTGC,16-Oct-14,59,59.25,58,58.25,22854500
PYLON,16-Oct-14,7.9,7.9,7.7,7.7,334900
Q-CON,16-Oct-14,9.3,9.3,9.25,9.3,7500
QH,16-Oct-14,4.12,4.14,4.08,4.1,21092600
QHHR,16-Oct-14,8.65,8.65,8.6,8.65,18200
QHPF,16-Oct-14,9.3,9.3,9.25,9.25,254300
QLT,16-Oct-14,11.6,11.6,11.5,11.5,25800
QTC,16-Oct-14,4.92,5.35,4.9,5.05,4027000
RATCH,16-Oct-14,59.5,60.25,59.25,59.5,682100
RCI,16-Oct-14,4.56,4.56,4.36,4.36,6662000
RCL,16-Oct-14,11.1,11.2,10.7,10.8,3954500
RICH,16-Oct-14,0.86,1,0.84,0.93,137279500
RICHY,16-Oct-14,3.66,3.68,3.56,3.6,5243900
RML,16-Oct-14,2.14,2.16,2.1,2.1,27313800
ROBINS,16-Oct-14,51.5,52.25,51.5,51.75,891700
ROJNA,16-Oct-14,7.7,7.7,7.4,7.4,1393500
RPC,16-Oct-14,1.19,1.23,1.16,1.17,7903000
RS,16-Oct-14,7.8,7.85,7.7,7.8,4238400
RWI,16-Oct-14,4.9,5.05,4.52,4.62,48794300
S,16-Oct-14,10.7,10.9,9.9,10,22376000
SABINA,16-Oct-14,23.5,23.6,23.3,23.3,1800
SALEE,16-Oct-14,8.1,8.1,7.95,7.95,225000
SAM,16-Oct-14,2.8,2.84,2.5,2.6,141976000
SAMART,16-Oct-14,33.25,34,32.75,33.75,8441000
SAMCO,16-Oct-14,2.96,3.02,2.96,2.98,214800
SAMTEL,16-Oct-14,21.7,21.8,21,21,1174800
SANKO,16-Oct-14,1.64,1.64,1.55,1.56,3075600
SAPPE,16-Oct-14,42.5,42.75,41,41.25,1392600
SAT,16-Oct-14,18.4,18.5,18.1,18.2,124200
SAUCE,16-Oct-14,26.25,26.5,26,26.5,8800
SAWAD,16-Oct-14,19.9,20,19.5,19.6,6032200
SAWANG,16-Oct-14,15.6,16.4,15.1,16.4,8500
SBPF,16-Oct-14,8.6,8.8,8.6,8.8,1200
SC,16-Oct-14,3.74,3.74,3.62,3.66,3596500
SCB,16-Oct-14,175,175,172.5,172.5,6276200
SCBLIF,16-Oct-14,1152,1152,1152,1152,1950
SCC,16-Oct-14,434,436,430,430,777800
SCCC,16-Oct-14,418,422,416,420,54700
SCG,16-Oct-14,6.2,6.2,6.15,6.15,21000
SCP,16-Oct-14,11.6,11.8,11.3,11.4,2581200
SE-ED,16-Oct-14,4.92,4.94,4.9,4.9,99100
SEAFCO,16-Oct-14,6.15,6.15,6,6.05,857100
SEAOIL,16-Oct-14,15.1,15.4,14,14.5,5934800
SENA,16-Oct-14,2.98,2.98,2.9,2.9,1236600
SF,16-Oct-14,7.15,7.15,6.9,6.9,5149700
SFP,16-Oct-14,246,249,246,246,300
SGP,16-Oct-14,12.9,12.9,12.6,12.6,1457900
SHANG,16-Oct-14,48,49,48,48,800
SIAM,16-Oct-14,2.68,2.86,2.62,2.62,10105800
SIM,16-Oct-14,3.62,3.66,3.6,3.6,3797800
SIMAT,16-Oct-14,5.15,5.15,5.1,5.1,104900
SINGER,16-Oct-14,17.1,17.2,16.9,16.9,849100
SIRI,16-Oct-14,2.16,2.18,2.12,2.12,176744100
SIRIP,16-Oct-14,10,10,10,10,1000000
SIS,16-Oct-14,5.1,5.2,5.05,5.05,264700
SITHAI,16-Oct-14,2.64,2.68,2.6,2.62,5942500
SKR,16-Oct-14,70.25,72.5,70.25,72.5,8100
SLC,16-Oct-14,0.12,0.13,0.12,0.13,51513600
SMART,16-Oct-14,3.58,3.68,3.5,3.58,1656900
SMG,16-Oct-14,30.25,30.75,30,30.5,16100
SMIT,16-Oct-14,4.66,4.66,4.54,4.64,62800
SMK,16-Oct-14,478,478,476,476,200
SMM,16-Oct-14,1.95,2.02,1.92,1.92,7770400
SMPC,16-Oct-14,60,60,58.75,58.75,13000
SMT,16-Oct-14,6.15,6.15,6,6,84600
SNC,16-Oct-14,15.5,15.5,15.2,15.2,567600
SNP,16-Oct-14,25.75,26,25.75,25.75,411400
SOLAR,16-Oct-14,11.5,11.7,10.5,11.2,16425200
SORKON,16-Oct-14,85,85,85,85,1700
SPACK,16-Oct-14,2.44,2.6,2.44,2.52,78000
SPALI,16-Oct-14,25,25.25,24.6,24.6,4394500
SPC,16-Oct-14,41,41,41,41,1000
SPCG,16-Oct-14,24.7,24.8,24.6,24.6,635700
SPF,16-Oct-14,17,17,16.9,16.9,119700
SPG,16-Oct-14,40,41,35.75,36,45500
SPI,16-Oct-14,25.25,25.25,25.25,25.25,900
SPORT,16-Oct-14,2.18,2.2,2.14,2.14,212900
SPPT,16-Oct-14,2.58,2.94,2.58,2.72,6097400
SPVI,16-Oct-14,1.97,2,1.93,1.93,11949400
SPWPF,16-Oct-14,9.4,9.4,9.4,9.4,4000
SRICHA,16-Oct-14,35,35,34.5,34.5,202200
