name,date,open,high,low,close,volumn
UV42C1410A,14-Oct-14,0.53,0.59,0.53,0.56,303000
VGI01C1411A,14-Oct-14,0.48,0.48,0.48,0.48,3077600
VGI01P1411A,14-Oct-14,0.53,0.53,0.52,0.52,565800
VGI06C1504A,14-Oct-14,1.45,1.45,1.45,1.45,32000
VGI42C1412A,14-Oct-14,0.3,0.3,0.3,0.3,200000
WHA08C1504A,14-Oct-14,0.85,0.87,0.85,0.87,1012000
WHA13C1502A,14-Oct-14,0.86,0.89,0.84,0.89,5246000
WHA28C1502A,14-Oct-14,0.51,0.51,0.5,0.51,2940000
ACD-W2,14-Oct-14,2.42,2.64,2.22,2.32,73874800
AEC-W2,14-Oct-14,0.53,0.54,0.52,0.52,1601000
AJP-W1,14-Oct-14,10.9,11.8,10.9,11.2,14430400
AQ-W2,14-Oct-14,0.16,0.17,0.15,0.16,48040600
AQ-W3,14-Oct-14,0.24,0.26,0.23,0.24,163088100
BKD-W1,14-Oct-14,2.04,2.06,1.81,1.81,64756200
BLAND-W3,14-Oct-14,0.47,0.48,0.46,0.46,10241300
BLAND-W4,14-Oct-14,0.6,0.6,0.58,0.58,19334800
BROOK-W4,14-Oct-14,2.78,2.78,2.74,2.78,35100
BSM-W1,14-Oct-14,5.75,6,4.1,4.1,5068200
BTS-W3,14-Oct-14,0.97,0.98,0.96,0.97,37170600
